autopopulated from order,text field,"""yes"" or leave blank","""yes"" or leave blank",Sequencing,autogenerated integer,autogenerated integer,optional text field,optional text field,optional text field,mandatory if DNA Extraction selected,0.0 ng/ul,text field,text field,"for variant calling and starts with ""GCF_"" or ""GCA_""",url (preferred) or exact file name,optional text field
Service Selection,Requester Name,DNA Extraction,Variant Calling,Success,SeqCoast Tube ID,Order ID,Project Name,Sample Name,Species Name,"Sample Type (please enter ""frozen cell pellet"" OR ""sealed pre-grown agar plate"")",DNA concentration in ng/ul (Qubit recommended),DNA quantification method (Qubit Nanodrop etc.),DNA elution buffer (water TE etc.),Genome accession number,If Variant Calling selected please provide a link or reference genome file name here (upload files during checkout),Sample Notes
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,1,4539,UVU_Pando,epi_blank_2,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,2,4539,UVU_Pando,end_b1,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,3,4539,UVU_Pando,end_a4,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,4,4539,UVU_Pando,end_h5,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,5,4539,UVU_Pando,end_j2,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,6,4539,UVU_Pando,end_a25,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,7,4539,UVU_Pando,epi_j8,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,8,4539,UVU_Pando,epi_a7,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,9,4539,UVU_Pando,end_d1,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,10,4539,UVU_Pando,end_a29,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,11,4539,UVU_Pando,end_d2,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,12,4539,UVU_Pando,end_j10,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,13,4539,UVU_Pando,end_h2,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,14,4539,UVU_Pando,end_a17,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,15,4539,UVU_Pando,epi_a13,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,16,4539,UVU_Pando,epi_j9,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,17,4539,UVU_Pando,end_f6,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,18,4539,UVU_Pando,end_c4,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,19,4539,UVU_Pando,end_j6,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,20,4539,UVU_Pando,end_g5,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,21,4539,UVU_Pando,end_j11,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,22,4539,UVU_Pando,end_f2,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,23,4539,UVU_Pando,epi_a26,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,24,4539,UVU_Pando,epi_a5,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,25,4539,UVU_Pando,end_a5,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,26,4539,UVU_Pando,end_a1,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,27,4539,UVU_Pando,end_j7,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,WEAK,28,4539,UVU_Pando,end_f3,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,29,4539,UVU_Pando,end_h6,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,30,4539,UVU_Pando,end_k5,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,31,4539,UVU_Pando,end_c5,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,32,4539,UVU_Pando,epi_a6,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,33,4539,UVU_Pando,end_k1,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,34,4539,UVU_Pando,end_d4,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,35,4539,UVU_Pando,end_a26,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,36,4539,UVU_Pando,end_j4,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,37,4539,UVU_Pando,end_b4,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,38,4539,UVU_Pando,end_g1,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,39,4539,UVU_Pando,end_e4,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,40,4539,UVU_Pando,epi_a19,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,41,4539,UVU_Pando,end_f1,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,42,4539,UVU_Pando,end_a7,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,43,4539,UVU_Pando,end_a14,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,FAILED,44,4539,UVU_Pando,end_a23,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,45,4539,UVU_Pando,end_g2,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,FAILED,46,4539,UVU_Pando,epi_e3,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,47,4539,UVU_Pando,epi_f3,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,48,4539,UVU_Pando,epi_h3,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,49,4539,UVU_Pando,end_a13,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,50,4539,UVU_Pando,end_g4,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,51,4539,UVU_Pando,end_i5,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,52,4539,UVU_Pando,end_a3,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,53,4539,UVU_Pando,end_c3,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,54,4539,UVU_Pando,epi_i3,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,55,4539,UVU_Pando,epi_j6,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,56,4539,UVU_Pando,epi_j7,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,57,4539,UVU_Pando,end_a24,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,58,4539,UVU_Pando,end_i4,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,59,4539,UVU_Pando,end_b3,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,60,4539,UVU_Pando,end_a21,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,WEAK,61,4539,UVU_Pando,epi_a24,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,62,4539,UVU_Pando,end_k2,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,63,4539,UVU_Pando,epi_h2,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,64,4539,UVU_Pando,epi_a29,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,65,4539,UVU_Pando,end_e2,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,66,4539,UVU_Pando,end_a27,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,67,4539,UVU_Pando,epi_a17,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,68,4539,UVU_Pando,epi_j10,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,69,4539,UVU_Pando,epi_j2,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,WEAK,70,4539,UVU_Pando,epi_h5,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,71,4539,UVU_Pando,epi_a23,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,72,4539,UVU_Pando,epi_a11,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,73,4539,UVU_Pando,end_g7,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,WEAK,74,4539,UVU_Pando,epi_blank_1,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,75,4539,UVU_Pando,end_h3,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,76,4539,UVU_Pando,epi_j4,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,77,4539,UVU_Pando,epi_a25,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,78,4539,UVU_Pando,epi_g4,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,79,4539,UVU_Pando,epi_d2,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,80,4539,UVU_Pando,epi_g1,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,81,4539,UVU_Pando,end_i1,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,82,4539,UVU_Pando,epi_g5,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,83,4539,UVU_Pando,epi_k5,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,84,4539,UVU_Pando,epi_a4,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,85,4539,UVU_Pando,epi_i5,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,86,4539,UVU_Pando,epi_a18,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,FAILED,87,4539,UVU_Pando,epi_e2,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,88,4539,UVU_Pando,epi_a8,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
