autopopulated from order,text field,"""yes"" or leave blank","""yes"" or leave blank",Sequencing,autogenerated integer,autogenerated integer,optional text field,optional text field,optional text field,mandatory if DNA Extraction selected,0.0 ng/ul,text field,text field,"for variant calling and starts with ""GCF_"" or ""GCA_""",url (preferred) or exact file name,optional text field
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,89,4539,UVU_Pando,end_i2,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,90,4539,UVU_Pando,epi_c3,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,91,4539,UVU_Pando,epi_i1,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,92,4539,UVU_Pando,epi_j11,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,93,4539,UVU_Pando,epi_k3,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,WEAK,94,4539,UVU_Pando,epi_i2,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,95,4539,UVU_Pando,epi_a2,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,WEAK,96,4539,UVU_Pando,epi_d5,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,97,4539,UVU_Pando,epi_a9,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,98,4539,UVU_Pando,epi_g2,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,99,4539,UVU_Pando,epi_f1,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,100,4539,UVU_Pando,epi_f2,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,101,4539,UVU_Pando,epi_b5,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,102,4539,UVU_Pando,epi_c6,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,103,4539,UVU_Pando,epi_g3,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,104,4539,UVU_Pando,epi_d4,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,105,4539,UVU_Pando,epi_e1,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,106,4539,UVU_Pando,epi_k4,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,107,4539,UVU_Pando,epi_a22,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,FAILED,108,4539,UVU_Pando,epi_j5,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,109,4539,UVU_Pando,epi_e4,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,110,4539,UVU_Pando,epi_a21,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,FAILED,111,4539,UVU_Pando,epi_d1,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,112,4539,UVU_Pando,epi_c2,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,113,4539,UVU_Pando,epi_b3,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,114,4539,UVU_Pando,epi_a14,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,115,4539,UVU_Pando,epi_c1,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,116,4539,UVU_Pando,epi_g6,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,117,4539,UVU_Pando,epi_e6,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,FAILED,118,4539,UVU_Pando,epi_a12,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,119,4539,UVU_Pando,end_a12,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,120,4539,UVU_Pando,epi_a10,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,121,4539,UVU_Pando,epi_a15,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,122,4539,UVU_Pando,epi_b4,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,123,4539,UVU_Pando,epi_a16,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,124,4539,UVU_Pando,epi_d6,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,FAILED,125,4539,UVU_Pando,epi_a1,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,126,4539,UVU_Pando,epi_c4,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,127,4539,UVU_Pando,epi_f5,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,128,4539,UVU_Pando,epi_b1,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,129,4539,UVU_Pando,end_e5,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,130,4539,UVU_Pando,epi_f6,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,131,4539,UVU_Pando,end_f4,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,132,4539,UVU_Pando,end_j8,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,133,4539,UVU_Pando,end_b2,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,WEAK,134,4539,UVU_Pando,epi_k2,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,135,4539,UVU_Pando,end_a10,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,136,4539,UVU_Pando,epi_b2,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,137,4539,UVU_Pando,end_a2,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,138,4539,UVU_Pando,end_a22,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,139,4539,UVU_Pando,end_a6,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,140,4539,UVU_Pando,end_a27,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,141,4539,UVU_Pando,end_g6,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,142,4539,UVU_Pando,end_e3,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,143,4539,UVU_Pando,end_k4,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,144,4539,UVU_Pando,end_a19,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,145,4539,UVU_Pando,end_e1,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,146,4539,UVU_Pando,end_c2,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,147,4539,UVU_Pando,end_b6,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,148,4539,UVU_Pando,end_a8,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,WEAK,149,4539,UVU_Pando,end_blank_2,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,150,4539,UVU_Pando,end_i3,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,151,4539,UVU_Pando,end_k3,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,152,4539,UVU_Pando,end_a15,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,153,4539,UVU_Pando,end_c6,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,154,4539,UVU_Pando,end_e6,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,WEAK,155,4539,UVU_Pando,end_blank_1,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,156,4539,UVU_Pando,end_a16,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,157,4539,UVU_Pando,end_g3,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,158,4539,UVU_Pando,end_a18,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,159,4539,UVU_Pando,end_d6,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,160,4539,UVU_Pando,end_j9,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,161,4539,UVU_Pando,end_d5,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,162,4539,UVU_Pando,end_j1,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,163,4539,UVU_Pando,end_j5,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,164,4539,UVU_Pando,end_f5,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,165,4539,UVU_Pando,end_a11,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,166,4539,UVU_Pando,end_b5,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,167,4539,UVU_Pando,end_c1,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,168,4539,UVU_Pando,end_h4,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,169,4539,UVU_Pando,epi_k1,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,170,4539,UVU_Pando,epi_h6,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,FAILED,171,4539,UVU_Pando,epi_f4,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,172,4539,UVU_Pando,epi_c5,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,173,4539,UVU_Pando,epi_a28,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,FAILED,174,4539,UVU_Pando,epi_j1,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,175,4539,UVU_Pando,epi_e5,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,176,4539,UVU_Pando,epi_h4,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,177,4539,UVU_Pando,epi_g7,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,WEAK,178,4539,UVU_Pando,epi_b6,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,179,4539,UVU_Pando,epi_a3,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,FAILED,180,4539,UVU_Pando,epi_j3,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
"ITS2 50k reads, 2x300bp",Geoffrey Zahn,,,SUCCESSFUL,181,4539,UVU_Pando,epi_i4,fungal metabarcodes,,~4,Qubit,Water,,,"CUSTOM: ITS2 using ITS3F and ITS4R primers; 50k reads, 2x300bp Illumina; 14 business day anticipated turnaround"
