tree,sample,lat,lon,fenced,distance_from_edge,sample_type,plate,row,col,fwd_filepath,rev_filepath
NA,epi_blank_2,NA,NA,NA,NA,epiphyte,1,A,1,,
b1,end_b1,38.52785,-111.74683,,,endophyte,1,B,1,,
a4,end_a4,38.52899,-111.74707,,,endophyte,1,C,1,,
h5,end_h5,38.52337,-111.75168,,,endophyte,1,D,1,,
j2,end_j2,38.5261,-111.75269,,,endophyte,1,E,1,,
a25,end_a25,38.52282,-111.75266,,,endophyte,1,F,1,,
j8,epi_j8,38.52533,-111.7501,,,epiphyte,1,G,1,,
a7,epi_a7,38.52825,-111.74721,,,epiphyte,1,H,1,,
d1,end_d1,38.52608,-111.74794,,,endophyte,1,A,2,,
a29,end_a29,38.52161,-111.75378,,,endophyte,1,B,2,,
d2,end_d2,38.52595,-111.7478,,,endophyte,1,C,2,,
j10,end_j10,38.52538,-111.74939,,,endophyte,1,D,2,,
h2,end_h2,38.52394,-111.75238,,,endophyte,1,E,2,,
a17,end_a17,38.5255,-111.74918,,,endophyte,1,F,2,,
a13,epi_a13,38.5268,-111.74903,,,epiphyte,1,G,2,,
j9,epi_j9,38.52525,-111.74982,,,epiphyte,1,H,2,,
f6,end_f6,38.52357,-111.75073,,,endophyte,1,A,3,,
c4,end_c4,38.52653,-111.74684,,,endophyte,1,B,3,,
j6,end_j6,38.52568,-111.75092,,,endophyte,1,C,3,,
g5,end_g5,38.52388,-111.75259,,,endophyte,1,D,3,,
j11,end_j11,38.52531,-111.74893,,,endophyte,1,E,3,,
f2,end_f2,38.52285,-111.7495,,,endophyte,1,F,3,,
a26,epi_a26,38.52251,-111.75327,,,epiphyte,1,G,3,,
a5,epi_a5,38.52876,-111.74717,,,epiphyte,1,H,3,,
a5,end_a5,38.52876,-111.74717,,,endophyte,1,A,4,,
a1,end_a1,38.52928,-111.74569,,,endophyte,1,B,4,,
j7,end_j7,38.52549,-111.75053,,,endophyte,1,C,4,,
f3,end_f3,38.52322,-111.74998,,,endophyte,1,D,4,,
h6,end_h6,38.52331,-111.75155,,,endophyte,1,E,4,,
k5,end_k5,38.52975,-111.74677,,,endophyte,1,F,4,,
c5,end_c5,38.52682,-111.7472,,,endophyte,1,G,4,,
a6,epi_a6,38.52836,-111.74717,,,epiphyte,1,H,4,,
k1,end_k1,38.52937,-111.74583,,,endophyte,1,A,5,,
d4,end_d4,38.52588,-111.74762,,,endophyte,1,B,5,,
a26,end_a26,38.52251,-111.75327,,,endophyte,1,C,5,,
j4,end_j4,38.52594,-111.75173,,,endophyte,1,D,5,,
b4,end_b4,38.52747,-111.74536,,,endophyte,1,E,5,,
g1,end_g1,38.52312,-111.75191,,,endophyte,1,F,5,,
e4,end_e4,38.52377,-111.74941,,,endophyte,1,G,5,,
a19,epi_a19,38.52452,-111.75043,,,epiphyte,1,H,5,,
f1,end_f1,38.52244,-111.74895,,,endophyte,1,A,6,,
a7,end_a7,38.52825,-111.74721,,,endophyte,1,B,6,,
a14,end_a14,38.52655,-111.74905,,,endophyte,1,C,6,,
a23,end_a23,38.52351,-111.75195,,,endophyte,1,D,6,,
g2,end_g2,38.5232,-111.7522,,,endophyte,1,E,6,,
e3,epi_e3,38.52375,-111.74891,,,epiphyte,1,F,6,,
f3,epi_f3,38.52322,-111.74998,,,epiphyte,1,G,6,,
h3,epi_h3,38.52377,-111.75209,,,epiphyte,1,H,6,,
a13,end_a13,38.5268,-111.74903,,,endophyte,1,A,7,,
g4,end_g4,38.52343,-111.75285,,,endophyte,1,B,7,,
i5,end_i5,38.52454,-111.75146,,,endophyte,1,C,7,,
a3,end_a3,38.52878,-111.74646,,,endophyte,1,D,7,,
c3,end_c3,38.52663,-111.74642,,,endophyte,1,E,7,,
i3,epi_i3,38.52399,-111.75126,,,epiphyte,1,F,7,,
j6,epi_j6,38.52568,-111.75092,,,epiphyte,1,G,7,,
j7,epi_j7,38.52549,-111.75053,,,epiphyte,1,H,7,,
a24,end_a24,38.52323,-111.75237,,,endophyte,1,A,8,,
i4,end_i4,38.52433,-111.75139,,,endophyte,1,B,8,,
b3,end_b3,38.52745,-111.74618,,,endophyte,1,C,8,,
a21,end_a21,38.5241,-111.75113,,,endophyte,1,D,8,,
a24,epi_a24,38.52323,-111.75237,,,epiphyte,1,E,8,,
k2,end_k2,38.52954,-111.74617,,,endophyte,1,F,8,,
h2,epi_h2,38.52394,-111.75238,,,epiphyte,1,G,8,,
a29,epi_a29,38.52161,-111.75378,,,epiphyte,1,H,8,,
e2,end_e2,38.52361,-111.74862,,,endophyte,1,A,9,,
a27,end_a27,38.5218,-111.75351,,,endophyte,1,B,9,,
a17,epi_a17,38.5255,-111.74918,,,epiphyte,1,C,9,,
j10,epi_j10,38.52538,-111.74939,,,epiphyte,1,D,9,,
j2,epi_j2,38.5261,-111.75269,,,epiphyte,1,E,9,,
h5,epi_h5,38.52337,-111.75168,,,epiphyte,1,F,9,,
a23,epi_a23,38.52351,-111.75195,,,epiphyte,1,G,9,,
a11,epi_a11,38.52724,-111.74861,,,epiphyte,1,H,9,,
g7,end_g7,38.52478,-111.75275,,,endophyte,1,A,10,,
NA,epi_blank_1,NA,NA,NA,NA,epiphyte,1,B,10,,
h3,end_h3,38.52377,-111.75209,,,endophyte,1,C,10,,
j4,epi_j4,38.52594,-111.75173,,,epiphyte,1,D,10,,
a25,epi_a25,38.52282,-111.75266,,,epiphyte,1,E,10,,
g4,epi_g4,38.52343,-111.75285,,,epiphyte,1,F,10,,
d2,epi_d2,38.52595,-111.7478,,,epiphyte,1,G,10,,
g1,epi_g1,38.52312,-111.75191,,,epiphyte,1,H,10,,
i1,end_i1,38.52363,-111.75106,,,endophyte,1,A,11,,
g5,epi_g5,38.52388,-111.75259,,,epiphyte,1,B,11,,
k5,epi_k5,38.52975,-111.74677,,,epiphyte,1,C,11,,
a4,epi_a4,38.52899,-111.74707,,,epiphyte,1,D,11,,
i5,epi_i5,38.52454,-111.75146,,,epiphyte,1,E,11,,
a18,epi_a18,38.5249,-111.7497,,,epiphyte,1,F,11,,
e2,epi_e2,38.52361,-111.74862,,,epiphyte,1,G,11,,
a8,epi_a8,38.52819,-111.74794,,,epiphyte,1,H,11,,
i2,end_i2,38.52378,-111.75122,,,endophyte,1,A,12,,
c3,epi_c3,38.52663,-111.74642,,,epiphyte,1,B,12,,
i1,epi_i1,38.52363,-111.75106,,,epiphyte,1,C,12,,
j11,epi_j11,38.52531,-111.74893,,,epiphyte,1,D,12,,
k3,epi_k3,38.5296,-111.74644,,,epiphyte,1,E,12,,
NA,NA,NA,NA,NA,NA,NA,1,F,12,NA,NA
NA,NA,NA,NA,NA,NA,NA,1,G,12,NA,NA
NA,NA,NA,NA,NA,NA,NA,1,H,12,NA,NA
i2,epi_i2,38.52378,-111.75122,,,epiphyte,2,A,1,,
a2,epi_a2,38.52917,-111.7458,,,epiphyte,2,B,1,,
d5,epi_d5,38.52576,-111.7471,,,epiphyte,2,C,1,,
a9,epi_a9,38.52786,-111.74822,,,epiphyte,2,D,1,,
g2,epi_g2,38.5232,-111.7522,,,epiphyte,2,E,1,,
f1,epi_f1,38.52244,-111.74895,,,epiphyte,2,F,1,,
f2,epi_f2,38.52285,-111.7495,,,epiphyte,2,G,1,,
b5,epi_b5,38.52755,-111.74496,,,epiphyte,2,H,1,,
c6,epi_c6,38.52699,-111.74737,,,epiphyte,2,A,2,,
g3,epi_g3,38.5233,-111.7525,,,epiphyte,2,B,2,,
d4,epi_d4,38.52588,-111.74762,,,epiphyte,2,C,2,,
e1,epi_e1,38.52361,-111.74828,,,epiphyte,2,D,2,,
k4,epi_k4,38.52971,-111.74688,,,epiphyte,2,E,2,,
a22,epi_a22,38.52383,-111.75158,,,epiphyte,2,F,2,,
j5,epi_j5,38.52583,-111.75126,,,epiphyte,2,G,2,,
e4,epi_e4,38.52377,-111.74941,,,epiphyte,2,H,2,,
a21,epi_a21,38.5241,-111.75113,,,epiphyte,2,A,3,,
d1,epi_d1,38.52608,-111.74794,,,epiphyte,2,B,3,,
c2,epi_c2,38.5266,-111.74606,,,epiphyte,2,C,3,,
b3,epi_b3,38.52745,-111.74618,,,epiphyte,2,D,3,,
a14,epi_a14,38.52655,-111.74905,,,epiphyte,2,E,3,,
c1,epi_c1,38.5273,-111.74474,,,epiphyte,2,F,3,,
g6,epi_g6,38.52432,-111.75298,,,epiphyte,2,G,3,,
e6,epi_e6,38.52402,-111.74699,,,epiphyte,2,H,3,,
a12,epi_a12,38.52712,-111.74876,,,epiphyte,2,A,4,,
a12,end_a12,38.52712,-111.74876,,,endophyte,2,B,4,,
a10,epi_a10,38.52759,-111.74859,,,epiphyte,2,C,4,,
a15,epi_a15,38.52631,-111.74897,,,epiphyte,2,D,4,,
b4,epi_b4,38.52747,-111.74536,,,epiphyte,2,E,4,,
a16,epi_a16,38.52597,-111.74899,,,epiphyte,2,F,4,,
d6,epi_d6,38.52564,-111.74625,,,epiphyte,2,G,4,,
a1,epi_a1,38.52928,-111.74569,,,epiphyte,2,H,4,,
c4,epi_c4,38.52653,-111.74684,,,epiphyte,2,A,5,,
f5,epi_f5,38.52351,-111.75066,,,epiphyte,2,B,5,,
b1,epi_b1,38.52785,-111.74683,,,epiphyte,2,C,5,,
e5,end_e5,38.52389,-111.74969,,,endophyte,2,D,5,,
f6,epi_f6,38.52357,-111.75073,,,epiphyte,2,E,5,,
f4,end_f4,38.52332,-111.75043,,,endophyte,2,F,5,,
j8,end_j8,38.52533,-111.7501,,,endophyte,2,G,5,,
b2,end_b2,38.52767,-111.74645,,,endophyte,2,H,5,,
k2,epi_k2,38.52954,-111.74617,,,epiphyte,2,A,6,,
a10,end_a10,38.52759,-111.74859,,,endophyte,2,B,6,,
b2,epi_b2,38.52767,-111.74645,,,epiphyte,2,C,6,,
a2,end_a2,38.52917,-111.7458,,,endophyte,2,D,6,,
a22,end_a22,38.52383,-111.75158,,,endophyte,2,E,6,,
a6,end_a6,38.52836,-111.74717,,,endophyte,2,F,6,,
a27,end_a27,38.5218,-111.75351,,,endophyte,2,G,6,,
g6,end_g6,38.52432,-111.75298,,,endophyte,2,H,6,,
e3,end_e3,38.52375,-111.74891,,,endophyte,2,A,7,,
k4,end_k4,38.52971,-111.74688,,,endophyte,2,B,7,,
a19,end_a19,38.52452,-111.75043,,,endophyte,2,C,7,,
e1,end_e1,38.52361,-111.74828,,,endophyte,2,D,7,,
c2,end_c2,38.5266,-111.74606,,,endophyte,2,E,7,,
b6,end_b6,38.5273,-111.74474,,,endophyte,2,F,7,,
a8,end_a8,38.52819,-111.74794,,,endophyte,2,G,7,,
NA,end_blank_2,NA,NA,NA,NA,endophyte,2,H,7,,
i3,end_i3,38.52399,-111.75126,,,endophyte,2,A,8,,
k3,end_k3,38.5296,-111.74644,,,endophyte,2,B,8,,
a15,end_a15,38.52631,-111.74897,,,endophyte,2,C,8,,
c6,end_c6,38.52699,-111.74737,,,endophyte,2,D,8,,
e6,end_e6,38.52402,-111.74699,,,endophyte,2,E,8,,
NA,end_blank_1,NA,NA,NA,NA,endophyte,2,F,8,,
a16,end_a16,38.52597,-111.74899,,,endophyte,2,G,8,,
g3,end_g3,38.5233,-111.7525,,,endophyte,2,H,8,,
a18,end_a18,38.5249,-111.7497,,,endophyte,2,A,9,,
d6,end_d6,38.52564,-111.74625,,,endophyte,2,B,9,,
j9,end_j9,38.52525,-111.74982,,,endophyte,2,C,9,,
d5,end_d5,38.52576,-111.7471,,,endophyte,2,D,9,,
j1,end_j1,38.52624,-111.75306,,,endophyte,2,E,9,,
j5,end_j5,38.52583,-111.75126,,,endophyte,2,F,9,,
f5,end_f5,38.52351,-111.75066,,,endophyte,2,G,9,,
a11,end_a11,38.52724,-111.74861,,,endophyte,2,H,9,,
b5,end_b5,38.52755,-111.74496,,,endophyte,2,A,10,,
c1,end_c1,38.5273,-111.74474,,,endophyte,2,B,10,,
h4,end_h4,38.52346,-111.75186,,,endophyte,2,C,10,,
k1,epi_k1,38.52937,-111.74583,,,epiphyte,2,D,10,,
h6,epi_h6,38.52331,-111.75155,,,epiphyte,2,E,10,,
f4,epi_f4,38.52332,-111.75043,,,epiphyte,2,F,10,,
c5,epi_c5,38.52682,-111.7472,,,epiphyte,2,G,10,,
a28,epi_a28,38.52147,-111.7535,,,epiphyte,2,H,10,,
j1,epi_j1,38.52624,-111.75306,,,epiphyte,2,A,11,,
e5,epi_e5,38.52389,-111.74969,,,epiphyte,2,B,11,,
h4,epi_h4,38.52346,-111.75186,,,epiphyte,2,C,11,,
g7,epi_g7,38.52478,-111.75275,,,epiphyte,2,D,11,,
b6,epi_b6,38.5273,-111.74474,,,epiphyte,2,E,11,,
a3,epi_a3,38.52878,-111.74646,,,epiphyte,2,F,11,,
j3,epi_j3,38.526,-111.75226,,,epiphyte,2,G,11,,
i4,epi_i4,38.52433,-111.75139,,,epiphyte,2,H,11,,
NA,NA,NA,NA,NA,NA,NA,2,A,12,NA,NA
NA,NA,NA,NA,NA,NA,NA,2,B,12,NA,NA
NA,NA,NA,NA,NA,NA,NA,2,C,12,NA,NA
NA,NA,NA,NA,NA,NA,NA,2,D,12,NA,NA
NA,NA,NA,NA,NA,NA,NA,2,E,12,NA,NA
NA,NA,NA,NA,NA,NA,NA,2,F,12,NA,NA
NA,NA,NA,NA,NA,NA,NA,2,G,12,NA,NA
NA,NA,NA,NA,NA,NA,NA,2,H,12,NA,NA
