"lat","lon","sample","elevation","elev_geometry","elev_units"
38.52785,-111.74683,"end_b1",2715.84,c(-111.74683, 38.52785),"meters"
38.52899,-111.74707,"end_a4",2726.54,c(-111.74707, 38.52899),"meters"
38.52337,-111.75168,"end_h5",2723.38,c(-111.75168, 38.52337),"meters"
38.5261,-111.75269,"end_j2",2776.61,c(-111.75269, 38.5261),"meters"
38.52282,-111.75266,"end_a25",2725.3,c(-111.75266, 38.52282),"meters"
38.52533,-111.7501,"epi_j8",2727.5,c(-111.7501, 38.52533),"meters"
38.52825,-111.74721,"epi_a7",2722.37,c(-111.74721, 38.52825),"meters"
38.52608,-111.74794,"end_d1",2710.85,c(-111.74794, 38.52608),"meters"
38.52161,-111.75378,"end_a29",2718.26,c(-111.75378, 38.52161),"meters"
38.52595,-111.7478,"end_d2",2708.31,c(-111.7478, 38.52595),"meters"
38.52538,-111.74939,"end_j10",2721.59,c(-111.74939, 38.52538),"meters"
38.52394,-111.75238,"end_h2",2734.6,c(-111.75238, 38.52394),"meters"
38.5255,-111.74918,"end_a17",2720.88,c(-111.74918, 38.5255),"meters"
38.5268,-111.74903,"epi_a13",2728.35,c(-111.74903, 38.5268),"meters"
38.52525,-111.74982,"epi_j9",2724.22,c(-111.74982, 38.52525),"meters"
38.52357,-111.75073,"end_f6",2717.59,c(-111.75073, 38.52357),"meters"
38.52653,-111.74684,"end_c4",2704.5,c(-111.74684, 38.52653),"meters"
38.52568,-111.75092,"end_j6",2742.6,c(-111.75092, 38.52568),"meters"
38.52388,-111.75259,"end_g5",2735.34,c(-111.75259, 38.52388),"meters"
38.52531,-111.74893,"end_j11",2716.43,c(-111.74893, 38.52531),"meters"
38.52285,-111.7495,"end_f2",2703.38,c(-111.7495, 38.52285),"meters"
38.52251,-111.75327,"epi_a26",2725.68,c(-111.75327, 38.52251),"meters"
38.52876,-111.74717,"epi_a5",2726.17,c(-111.74717, 38.52876),"meters"
38.52876,-111.74717,"end_a5",2726.17,c(-111.74717, 38.52876),"meters"
38.52928,-111.74569,"end_a1",2726.16,c(-111.74569, 38.52928),"meters"
38.52549,-111.75053,"end_j7",2735.31,c(-111.75053, 38.52549),"meters"
38.52322,-111.74998,"end_f3",2707.76,c(-111.74998, 38.52322),"meters"
38.52331,-111.75155,"end_h6",2721.41,c(-111.75155, 38.52331),"meters"
38.52975,-111.74677,"end_k5",2732.1,c(-111.74677, 38.52975),"meters"
38.52682,-111.7472,"end_c5",2709.44,c(-111.7472, 38.52682),"meters"
38.52836,-111.74717,"epi_a6",2723.15,c(-111.74717, 38.52836),"meters"
38.52937,-111.74583,"end_k1",2727.18,c(-111.74583, 38.52937),"meters"
38.52588,-111.74762,"end_d4",2706.67,c(-111.74762, 38.52588),"meters"
38.52251,-111.75327,"end_a26",2725.68,c(-111.75327, 38.52251),"meters"
38.52594,-111.75173,"end_j4",2757.77,c(-111.75173, 38.52594),"meters"
38.52747,-111.74536,"end_b4",2705.43,c(-111.74536, 38.52747),"meters"
38.52312,-111.75191,"end_g1",2722.94,c(-111.75191, 38.52312),"meters"
38.52377,-111.74941,"end_e4",2708.09,c(-111.74941, 38.52377),"meters"
38.52452,-111.75043,"epi_a19",2724.23,c(-111.75043, 38.52452),"meters"
38.52244,-111.74895,"end_f1",2699.38,c(-111.74895, 38.52244),"meters"
38.52825,-111.74721,"end_a7",2722.37,c(-111.74721, 38.52825),"meters"
38.52655,-111.74905,"end_a14",2727.1,c(-111.74905, 38.52655),"meters"
38.52351,-111.75195,"end_a23",2727.41,c(-111.75195, 38.52351),"meters"
38.5232,-111.7522,"end_g2",2726,c(-111.7522, 38.5232),"meters"
38.52375,-111.74891,"epi_e3",2705.04,c(-111.74891, 38.52375),"meters"
38.52322,-111.74998,"epi_f3",2707.76,c(-111.74998, 38.52322),"meters"
38.52377,-111.75209,"epi_h3",2730.38,c(-111.75209, 38.52377),"meters"
38.5268,-111.74903,"end_a13",2728.35,c(-111.74903, 38.5268),"meters"
38.52343,-111.75285,"end_g4",2732.45,c(-111.75285, 38.52343),"meters"
38.52454,-111.75146,"end_i5",2734.59,c(-111.75146, 38.52454),"meters"
38.52878,-111.74646,"end_a3",2721.89,c(-111.74646, 38.52878),"meters"
38.52663,-111.74642,"end_c3",2703.77,c(-111.74642, 38.52663),"meters"
38.52399,-111.75126,"epi_i3",2726.81,c(-111.75126, 38.52399),"meters"
38.52568,-111.75092,"epi_j6",2742.6,c(-111.75092, 38.52568),"meters"
38.52549,-111.75053,"epi_j7",2735.31,c(-111.75053, 38.52549),"meters"
38.52323,-111.75237,"end_a24",2727.21,c(-111.75237, 38.52323),"meters"
38.52433,-111.75139,"end_i4",2730.21,c(-111.75139, 38.52433),"meters"
38.52745,-111.74618,"end_b3",2708.59,c(-111.74618, 38.52745),"meters"
38.5241,-111.75113,"end_a21",2726.82,c(-111.75113, 38.5241),"meters"
38.52323,-111.75237,"epi_a24",2727.21,c(-111.75237, 38.52323),"meters"
38.52954,-111.74617,"end_k2",2728.53,c(-111.74617, 38.52954),"meters"
38.52394,-111.75238,"epi_h2",2734.6,c(-111.75238, 38.52394),"meters"
38.52161,-111.75378,"epi_a29",2718.26,c(-111.75378, 38.52161),"meters"
38.52361,-111.74862,"end_e2",2702.59,c(-111.74862, 38.52361),"meters"
38.5218,-111.75351,"end_a27",2719.19,c(-111.75351, 38.5218),"meters"
38.5255,-111.74918,"epi_a17",2720.88,c(-111.74918, 38.5255),"meters"
38.52538,-111.74939,"epi_j10",2721.59,c(-111.74939, 38.52538),"meters"
38.5261,-111.75269,"epi_j2",2776.61,c(-111.75269, 38.5261),"meters"
38.52337,-111.75168,"epi_h5",2723.38,c(-111.75168, 38.52337),"meters"
38.52351,-111.75195,"epi_a23",2727.41,c(-111.75195, 38.52351),"meters"
38.52724,-111.74861,"epi_a11",2727.18,c(-111.74861, 38.52724),"meters"
38.52478,-111.75275,"end_g7",2752.56,c(-111.75275, 38.52478),"meters"
38.52377,-111.75209,"end_h3",2730.38,c(-111.75209, 38.52377),"meters"
38.52594,-111.75173,"epi_j4",2757.77,c(-111.75173, 38.52594),"meters"
38.52282,-111.75266,"epi_a25",2725.3,c(-111.75266, 38.52282),"meters"
38.52343,-111.75285,"epi_g4",2732.45,c(-111.75285, 38.52343),"meters"
38.52595,-111.7478,"epi_d2",2708.31,c(-111.7478, 38.52595),"meters"
38.52312,-111.75191,"epi_g1",2722.94,c(-111.75191, 38.52312),"meters"
38.52363,-111.75106,"end_i1",2719.48,c(-111.75106, 38.52363),"meters"
38.52388,-111.75259,"epi_g5",2735.34,c(-111.75259, 38.52388),"meters"
38.52975,-111.74677,"epi_k5",2732.1,c(-111.74677, 38.52975),"meters"
38.52899,-111.74707,"epi_a4",2726.54,c(-111.74707, 38.52899),"meters"
38.52454,-111.75146,"epi_i5",2734.59,c(-111.75146, 38.52454),"meters"
38.5249,-111.7497,"epi_a18",2720.76,c(-111.7497, 38.5249),"meters"
38.52361,-111.74862,"epi_e2",2702.59,c(-111.74862, 38.52361),"meters"
38.52819,-111.74794,"epi_a8",2729.72,c(-111.74794, 38.52819),"meters"
38.52378,-111.75122,"end_i2",2724.18,c(-111.75122, 38.52378),"meters"
38.52663,-111.74642,"epi_c3",2703.77,c(-111.74642, 38.52663),"meters"
38.52363,-111.75106,"epi_i1",2719.48,c(-111.75106, 38.52363),"meters"
38.52531,-111.74893,"epi_j11",2716.43,c(-111.74893, 38.52531),"meters"
38.5296,-111.74644,"epi_k3",2730.05,c(-111.74644, 38.5296),"meters"
38.52378,-111.75122,"epi_i2",2724.18,c(-111.75122, 38.52378),"meters"
38.52917,-111.7458,"epi_a2",2724.96,c(-111.7458, 38.52917),"meters"
38.52576,-111.7471,"epi_d5",2702.22,c(-111.7471, 38.52576),"meters"
38.52786,-111.74822,"epi_a9",2728.44,c(-111.74822, 38.52786),"meters"
38.5232,-111.7522,"epi_g2",2726,c(-111.7522, 38.5232),"meters"
38.52244,-111.74895,"epi_f1",2699.38,c(-111.74895, 38.52244),"meters"
38.52285,-111.7495,"epi_f2",2703.38,c(-111.7495, 38.52285),"meters"
38.52755,-111.74496,"epi_b5",2704.08,c(-111.74496, 38.52755),"meters"
38.52699,-111.74737,"epi_c6",2712.02,c(-111.74737, 38.52699),"meters"
38.5233,-111.7525,"epi_g3",2728.83,c(-111.7525, 38.5233),"meters"
38.52588,-111.74762,"epi_d4",2706.67,c(-111.74762, 38.52588),"meters"
38.52361,-111.74828,"epi_e1",2700.5,c(-111.74828, 38.52361),"meters"
38.52971,-111.74688,"epi_k4",2732.49,c(-111.74688, 38.52971),"meters"
38.52383,-111.75158,"epi_a22",2727.59,c(-111.75158, 38.52383),"meters"
38.52583,-111.75126,"epi_j5",2749.71,c(-111.75126, 38.52583),"meters"
38.52377,-111.74941,"epi_e4",2708.09,c(-111.74941, 38.52377),"meters"
38.5241,-111.75113,"epi_a21",2726.82,c(-111.75113, 38.5241),"meters"
38.52608,-111.74794,"epi_d1",2710.85,c(-111.74794, 38.52608),"meters"
38.5266,-111.74606,"epi_c2",2702.25,c(-111.74606, 38.5266),"meters"
38.52745,-111.74618,"epi_b3",2708.59,c(-111.74618, 38.52745),"meters"
38.52655,-111.74905,"epi_a14",2727.1,c(-111.74905, 38.52655),"meters"
38.5273,-111.74474,"epi_c1",2701.96,c(-111.74474, 38.5273),"meters"
38.52432,-111.75298,"epi_g6",2746.83,c(-111.75298, 38.52432),"meters"
38.52402,-111.7499,"epi_e6",2713.52,c(-111.7499, 38.52402),"meters"
38.52712,-111.74876,"epi_a12",2727.76,c(-111.74876, 38.52712),"meters"
38.52712,-111.74876,"end_a12",2727.76,c(-111.74876, 38.52712),"meters"
38.52759,-111.74859,"epi_a10",2728.6,c(-111.74859, 38.52759),"meters"
38.52631,-111.74897,"epi_a15",2722,c(-111.74897, 38.52631),"meters"
38.52747,-111.74536,"epi_b4",2705.43,c(-111.74536, 38.52747),"meters"
38.52597,-111.74899,"epi_a16",2721.01,c(-111.74899, 38.52597),"meters"
38.52564,-111.74675,"epi_d6",2700.29,c(-111.74675, 38.52564),"meters"
38.52928,-111.74569,"epi_a1",2726.16,c(-111.74569, 38.52928),"meters"
38.52653,-111.74684,"epi_c4",2704.5,c(-111.74684, 38.52653),"meters"
38.52351,-111.75066,"epi_f5",2716.06,c(-111.75066, 38.52351),"meters"
38.52785,-111.74683,"epi_b1",2715.84,c(-111.74683, 38.52785),"meters"
38.52389,-111.74969,"end_e5",2711.62,c(-111.74969, 38.52389),"meters"
38.52357,-111.75073,"epi_f6",2717.59,c(-111.75073, 38.52357),"meters"
38.52332,-111.75043,"end_f4",2713.27,c(-111.75043, 38.52332),"meters"
38.52533,-111.7501,"end_j8",2727.5,c(-111.7501, 38.52533),"meters"
38.52767,-111.74645,"end_b2",2712.91,c(-111.74645, 38.52767),"meters"
38.52954,-111.74617,"epi_k2",2728.53,c(-111.74617, 38.52954),"meters"
38.52759,-111.74859,"end_a10",2728.6,c(-111.74859, 38.52759),"meters"
38.52767,-111.74645,"epi_b2",2712.91,c(-111.74645, 38.52767),"meters"
38.52917,-111.7458,"end_a2",2724.96,c(-111.7458, 38.52917),"meters"
38.52383,-111.75158,"end_a22",2727.59,c(-111.75158, 38.52383),"meters"
38.52836,-111.74717,"end_a6",2723.15,c(-111.74717, 38.52836),"meters"
38.5218,-111.75351,"end_a27",2719.19,c(-111.75351, 38.5218),"meters"
38.52432,-111.75298,"end_g6",2746.83,c(-111.75298, 38.52432),"meters"
38.52375,-111.74891,"end_e3",2705.04,c(-111.74891, 38.52375),"meters"
38.52971,-111.74688,"end_k4",2732.49,c(-111.74688, 38.52971),"meters"
38.52452,-111.75043,"end_a19",2724.23,c(-111.75043, 38.52452),"meters"
38.52361,-111.74828,"end_e1",2700.5,c(-111.74828, 38.52361),"meters"
38.5266,-111.74606,"end_c2",2702.25,c(-111.74606, 38.5266),"meters"
38.5273,-111.74474,"end_b6",2701.96,c(-111.74474, 38.5273),"meters"
38.52819,-111.74794,"end_a8",2729.72,c(-111.74794, 38.52819),"meters"
38.52399,-111.75126,"end_i3",2726.81,c(-111.75126, 38.52399),"meters"
38.5296,-111.74644,"end_k3",2730.05,c(-111.74644, 38.5296),"meters"
38.52631,-111.74897,"end_a15",2722,c(-111.74897, 38.52631),"meters"
38.52699,-111.74737,"end_c6",2712.02,c(-111.74737, 38.52699),"meters"
38.52402,-111.7499,"end_e6",2713.52,c(-111.7499, 38.52402),"meters"
38.52597,-111.74899,"end_a16",2721.01,c(-111.74899, 38.52597),"meters"
38.5233,-111.7525,"end_g3",2728.83,c(-111.7525, 38.5233),"meters"
38.5249,-111.7497,"end_a18",2720.76,c(-111.7497, 38.5249),"meters"
38.52564,-111.74675,"end_d6",2700.29,c(-111.74675, 38.52564),"meters"
38.52525,-111.74982,"end_j9",2724.22,c(-111.74982, 38.52525),"meters"
38.52576,-111.7471,"end_d5",2702.22,c(-111.7471, 38.52576),"meters"
38.52624,-111.75306,"end_j1",2787.43,c(-111.75306, 38.52624),"meters"
38.52583,-111.75126,"end_j5",2749.71,c(-111.75126, 38.52583),"meters"
38.52351,-111.75066,"end_f5",2716.06,c(-111.75066, 38.52351),"meters"
38.52724,-111.74861,"end_a11",2727.18,c(-111.74861, 38.52724),"meters"
38.52755,-111.74496,"end_b5",2704.08,c(-111.74496, 38.52755),"meters"
38.5273,-111.74474,"end_c1",2701.96,c(-111.74474, 38.5273),"meters"
38.52346,-111.75186,"end_h4",2726.39,c(-111.75186, 38.52346),"meters"
38.52937,-111.74583,"epi_k1",2727.18,c(-111.74583, 38.52937),"meters"
38.52331,-111.75155,"epi_h6",2721.41,c(-111.75155, 38.52331),"meters"
38.52332,-111.75043,"epi_f4",2713.27,c(-111.75043, 38.52332),"meters"
38.52682,-111.7472,"epi_c5",2709.44,c(-111.7472, 38.52682),"meters"
38.52147,-111.7535,"epi_a28",2714.41,c(-111.7535, 38.52147),"meters"
38.52624,-111.75306,"epi_j1",2787.43,c(-111.75306, 38.52624),"meters"
38.52389,-111.74969,"epi_e5",2711.62,c(-111.74969, 38.52389),"meters"
38.52346,-111.75186,"epi_h4",2726.39,c(-111.75186, 38.52346),"meters"
38.52478,-111.75275,"epi_g7",2752.56,c(-111.75275, 38.52478),"meters"
38.5273,-111.74474,"epi_b6",2701.96,c(-111.74474, 38.5273),"meters"
38.52878,-111.74646,"epi_a3",2721.89,c(-111.74646, 38.52878),"meters"
38.526,-111.75226,"epi_j3",2766.97,c(-111.75226, 38.526),"meters"
38.52433,-111.75139,"epi_i4",2730.21,c(-111.75139, 38.52433),"meters"
